t (s),V (mV),,t (s),V (mV),,t (s),V (mV)
0,12.4603,,0,2.52254759,,0,3.99999859
0.973,12.4472,,0.973,2.521495698,,0.973,3.998946698
1.911,12.4389,,1.911,2.520828659,,1.911,3.998279659
2.849,12.4304,,2.849,2.520145085,,2.849,3.997596085
3.823,12.4225,,3.823,2.519509344,,3.823,3.996960344
4.814,12.408,,4.814,2.518341426,,4.814,3.995792426
5.814,12.3971,,5.814,2.517462574,,5.814,3.994913574
6.813,12.388,,6.813,2.516728262,,6.813,3.994179262
7.813,12.3781,,7.813,2.515928782,,7.813,3.993379782
8.813,12.3686,,8.813,2.515161003,,8.813,3.992612003
9.813,12.3584,,9.813,2.514335994,,9.813,3.991786994
10.813,12.3491,,10.813,2.513583186,,10.813,3.991034186
11.814,12.3394,,11.814,2.512797395,,11.814,3.990248395
12.814,12.3299,,12.814,2.512027207,,12.814,3.989478207
13.814,12.3196,,13.814,2.51119149,,13.814,3.98864249
14.813,12.3099,,14.813,2.510403817,,14.813,3.987854817
15.813,12.2997,,15.813,2.509574872,,15.813,3.987025872
16.814,12.2908,,16.814,2.508851015,,16.814,3.986302015
17.814,12.2814,,17.814,2.508085923,,17.814,3.985536923
18.814,12.2721,,18.814,2.507328393,,18.814,3.984779393
19.814,12.263,,19.814,2.506586599,,19.814,3.984037599
20.813,12.2548,,20.813,2.505917697,,20.813,3.983368697
21.813,12.2449,,21.813,2.505109524,,21.813,3.982560524
22.814,12.2358,,22.814,2.504366081,,22.814,3.981817081
23.814,12.2257,,23.814,2.503540293,,23.814,3.980991293
24.814,12.2158,,24.814,2.502730196,,24.814,3.980181196
25.813,12.207,,25.813,2.502009558,,25.813,3.979460558
26.814,12.1975,,26.814,2.501231013,,26.814,3.978682013
27.814,12.1888,,27.814,2.500517497,,27.814,3.977968497
28.814,12.1784,,28.814,2.499663891,,28.814,3.977114891
29.814,12.1688,,29.814,2.498875299,,29.814,3.976326299
30.814,12.1603,,30.814,2.498176547,,30.814,3.975627547
31.813,12.1513,,31.813,2.49743616,,31.813,3.97488716
32.814,12.1415,,32.814,2.496629336,,32.814,3.974080336
33.814,12.1325,,33.814,2.495887802,,33.814,3.973338802
34.814,12.1234,,34.814,2.495137469,,34.814,3.972588469
35.813,12.1137,,35.813,2.494337044,,35.813,3.971788044
36.814,12.1048,,36.814,2.493602068,,36.814,3.971053068
37.814,12.0952,,37.814,2.49280868,,37.814,3.97025968
38.814,12.0873,,38.814,2.492155315,,38.814,3.969606315
39.814,12.076,,39.814,2.491220012,,39.814,3.968671012
40.814,12.0684,,40.814,2.490590466,,40.814,3.968041466
41.813,12.0584,,41.813,2.489761513,,41.813,3.967212513
42.814,12.0498,,42.814,2.489048062,,42.814,3.966499062
43.813,12.0393,,43.813,2.488176299,,43.813,3.965627299
44.813,12.0303,,44.813,2.487428467,,44.813,3.964879467
45.813,12.0209,,45.813,2.486646802,,45.813,3.964097802
46.814,12.0122,,46.814,2.4859228,,46.814,3.9633738
47.814,12.0026,,47.814,2.485123293,,47.814,3.962574293
48.814,11.9936,,48.814,2.484373174,,48.814,3.961824174
49.813,11.984,,49.813,2.483572427,,49.813,3.961023427
50.813,11.9743,,50.813,2.482762686,,50.813,3.960213686
51.813,11.9657,,51.813,2.482044224,,51.813,3.959495224
52.813,11.9553,,52.813,2.481174695,,52.813,3.958625695
53.814,11.9455,,53.814,2.480354638,,53.814,3.957805638
54.814,11.937,,54.814,2.47964282,,54.814,3.95709382
55.814,11.9291,,55.814,2.478980793,,55.814,3.956431793
56.814,11.9199,,56.814,2.478209272,,56.814,3.955660272
57.814,11.9103,,57.814,2.477403572,,57.814,3.954854572
58.814,11.9014,,58.814,2.47665604,,58.814,3.95410704
59.814,11.8919,,59.814,2.475857496,,59.814,3.953308496
60.814,11.8832,,60.814,2.475125638,,60.814,3.952576638
61.814,11.8739,,61.814,2.474342714,,61.814,3.951793714
62.814,11.8661,,62.814,2.473685595,,62.814,3.951136595
63.814,11.8572,,63.814,2.472935278,,63.814,3.950386278
64.814,11.8482,,64.814,2.472175957,,64.814,3.949626957
65.813,11.8385,,65.813,2.471356932,,65.813,3.948807932
66.814,11.8304,,66.814,2.47067249,,66.814,3.94812349
67.814,11.8215,,67.814,2.469919907,,67.814,3.947370907
